Sym_88503_c0_g1_i1	Sym_88503_c0_g1
Sym_175422_c0_g1_i1	Sym_175422_c0_g1
Sym_175425_c0_g1_i1	Sym_175425_c0_g1
Sym_175345_c0_g1_i1	Sym_175345_c0_g1
Sym_175408_c0_g1_i1	Sym_175408_c0_g1
Sym_175350_c0_g1_i1	Sym_175350_c0_g1
Sym_175420_c0_g1_i1	Sym_175420_c0_g1
Sym_175349_c0_g1_i1	Sym_175349_c0_g1
Sym_175339_c0_g1_i1	Sym_175339_c0_g1
Sym_175381_c0_g1_i1	Sym_175381_c0_g1
Sym_175333_c0_g1_i1	Sym_175333_c0_g1
Sym_175359_c0_g1_i1	Sym_175359_c0_g1
Sym_175360_c0_g1_i1	Sym_175360_c0_g1
Sym_175362_c0_g1_i1	Sym_175362_c0_g1
Sym_175356_c0_g1_i1	Sym_175356_c0_g1
Sym_175363_c0_g1_i1	Sym_175363_c0_g1
Sym_175342_c0_g1_i1	Sym_175342_c0_g1
Sym_175343_c0_g1_i1	Sym_175343_c0_g1
Sym_193109_c0_g1_i1	Sym_193109_c0_g1
Sym_193116_c0_g1_i1	Sym_193116_c0_g1
Sym_193055_c0_g1_i1	Sym_193055_c0_g1
Sym_166462_c0_g1_i1	Sym_166462_c0_g1
Sym_166478_c0_g1_i1	Sym_166478_c0_g1
Sym_117703_c1_g1_i1	Sym_117703_c1_g1
Sym_117709_c0_g1_i1	Sym_117709_c0_g1
Sym_117709_c0_g2_i1	Sym_117709_c0_g2
Sym_117637_c0_g1_i1	Sym_117637_c0_g1
Sym_117637_c1_g8_i1	Sym_117637_c1_g8
Sym_117705_c5_g1_i1	Sym_117705_c5_g1
Sym_117671_c0_g1_i1	Sym_117671_c0_g1
Sym_117687_c2_g2_i1	Sym_117687_c2_g2
Sym_117658_c4_g1_i1	Sym_117658_c4_g1
Sym_149283_c2_g1_i1	Sym_149283_c2_g1
Sym_149252_c1_g3_i1	Sym_149252_c1_g3
Sym_149270_c0_g1_i1	Sym_149270_c0_g1
Sym_149243_c1_g1_i1	Sym_149243_c1_g1
Sym_149243_c2_g1_i2	Sym_149243_c2_g1
Sym_107722_c2_g2_i1	Sym_107722_c2_g2
Sym_107722_c0_g1_i2	Sym_107722_c0_g1
Sym_107722_c3_g1_i1	Sym_107722_c3_g1
Sym_107722_c1_g3_i1	Sym_107722_c1_g3
Sym_107722_c1_g2_i1	Sym_107722_c1_g2
Sym_107722_c2_g1_i1	Sym_107722_c2_g1
Sym_107676_c0_g3_i2	Sym_107676_c0_g3
Sym_107664_c0_g1_i1	Sym_107664_c0_g1
Sym_107647_c1_g2_i1	Sym_107647_c1_g2
Sym_107647_c1_g1_i1	Sym_107647_c1_g1
Sym_107689_c1_g1_i2	Sym_107689_c1_g1
Sym_107679_c5_g1_i1	Sym_107679_c5_g1
Sym_107679_c5_g2_i1	Sym_107679_c5_g2
Sym_107698_c6_g1_i1	Sym_107698_c6_g1
Sym_107669_c0_g1_i1	Sym_107669_c0_g1
Sym_107669_c0_g1_i2	Sym_107669_c0_g1
Sym_107700_c6_g1_i1	Sym_107700_c6_g1
Sym_107680_c8_g1_i1	Sym_107680_c8_g1
Sym_107697_c0_g1_i1	Sym_107697_c0_g1
Sym_107645_c1_g1_i1	Sym_107645_c1_g1
Sym_107645_c1_g1_i2	Sym_107645_c1_g1
Sym_107645_c0_g2_i1	Sym_107645_c0_g2
Sym_180623_c0_g1_i1	Sym_180623_c0_g1
Sym_180606_c0_g1_i1	Sym_180606_c0_g1
Sym_180582_c0_g1_i1	Sym_180582_c0_g1
Sym_180611_c0_g1_i1	Sym_180611_c0_g1
Sym_180572_c0_g1_i1	Sym_180572_c0_g1
Sym_180581_c0_g1_i1	Sym_180581_c0_g1
Sym_180560_c0_g1_i1	Sym_180560_c0_g1
Sym_180609_c0_g1_i1	Sym_180609_c0_g1
Sym_180565_c0_g1_i1	Sym_180565_c0_g1
Sym_180625_c0_g1_i1	Sym_180625_c0_g1
Sym_180626_c0_g1_i1	Sym_180626_c0_g1
Sym_180589_c0_g1_i1	Sym_180589_c0_g1
Sym_127438_c1_g2_i1	Sym_127438_c1_g2
Sym_127438_c1_g1_i1	Sym_127438_c1_g1
Sym_127502_c3_g1_i1	Sym_127502_c3_g1
Sym_127502_c3_g1_i6	Sym_127502_c3_g1
Sym_127505_c0_g1_i1	Sym_127505_c0_g1
Sym_127462_c1_g3_i1	Sym_127462_c1_g3
Sym_184623_c0_g1_i1	Sym_184623_c0_g1
Sym_184627_c0_g1_i1	Sym_184627_c0_g1
Sym_184565_c0_g1_i1	Sym_184565_c0_g1
Sym_184557_c0_g1_i1	Sym_184557_c0_g1
Sym_179874_c0_g1_i1	Sym_179874_c0_g1
Sym_179868_c0_g1_i1	Sym_179868_c0_g1
Sym_179865_c0_g1_i1	Sym_179865_c0_g1
Sym_179901_c0_g1_i1	Sym_179901_c0_g1
Sym_179877_c0_g1_i1	Sym_179877_c0_g1
Sym_179902_c0_g1_i1	Sym_179902_c0_g1
Sym_179889_c0_g1_i1	Sym_179889_c0_g1
Sym_179850_c0_g1_i1	Sym_179850_c0_g1
Sym_179906_c0_g1_i1	Sym_179906_c0_g1
Sym_179857_c0_g1_i1	Sym_179857_c0_g1
Sym_179848_c0_g1_i1	Sym_179848_c0_g1
Sym_179908_c0_g1_i1	Sym_179908_c0_g1
Sym_179890_c0_g1_i1	Sym_179890_c0_g1
Sym_179866_c0_g1_i1	Sym_179866_c0_g1
Sym_179859_c0_g1_i1	Sym_179859_c0_g1
Sym_137506_c2_g3_i2	Sym_137506_c2_g3
Sym_137506_c2_g1_i2	Sym_137506_c2_g1
Sym_137508_c0_g1_i1	Sym_137508_c0_g1
Sym_137468_c1_g1_i3	Sym_137468_c1_g1
Sym_137472_c0_g1_i2	Sym_137472_c0_g1
Sym_137482_c0_g5_i1	Sym_137482_c0_g5
Sym_137482_c0_g8_i1	Sym_137482_c0_g8
Sym_137441_c0_g1_i1	Sym_137441_c0_g1
Sym_137441_c0_g2_i1	Sym_137441_c0_g2
Sym_137524_c3_g1_i2	Sym_137524_c3_g1
Sym_188010_c0_g1_i1	Sym_188010_c0_g1
Sym_188008_c0_g1_i1	Sym_188008_c0_g1
Sym_188009_c0_g1_i1	Sym_188009_c0_g1
Sym_187934_c0_g1_i1	Sym_187934_c0_g1
Sym_126452_c0_g1_i2	Sym_126452_c0_g1
Sym_126492_c2_g2_i1	Sym_126492_c2_g2
Sym_126504_c4_g1_i1	Sym_126504_c4_g1
Sym_126458_c2_g1_i1	Sym_126458_c2_g1
Sym_126469_c2_g3_i1	Sym_126469_c2_g3
Sym_110318_c0_g1_i1	Sym_110318_c0_g1
Sym_110271_c4_g2_i1	Sym_110271_c4_g2
Sym_110313_c1_g1_i1	Sym_110313_c1_g1
Sym_110329_c0_g2_i1	Sym_110329_c0_g2
Sym_110329_c0_g2_i2	Sym_110329_c0_g2
Sym_110297_c1_g3_i4	Sym_110297_c1_g3
Sym_110297_c1_g4_i3	Sym_110297_c1_g4
Sym_110328_c1_g1_i1	Sym_110328_c1_g1
Sym_110326_c0_g1_i2	Sym_110326_c0_g1
Sym_110246_c0_g1_i1	Sym_110246_c0_g1
Sym_110262_c1_g3_i1	Sym_110262_c1_g3
Sym_110262_c1_g2_i1	Sym_110262_c1_g2
Sym_110262_c1_g1_i5	Sym_110262_c1_g1
Sym_110262_c1_g1_i7	Sym_110262_c1_g1
Sym_110262_c1_g1_i6	Sym_110262_c1_g1
Sym_110262_c1_g1_i2	Sym_110262_c1_g1
Sym_108638_c3_g1_i1	Sym_108638_c3_g1
Sym_108680_c0_g1_i1	Sym_108680_c0_g1
Sym_108636_c0_g1_i1	Sym_108636_c0_g1
Sym_141827_c4_g1_i1	Sym_141827_c4_g1
Sym_141827_c8_g4_i1	Sym_141827_c8_g4
Sym_141827_c8_g5_i1	Sym_141827_c8_g5
Sym_141827_c8_g7_i1	Sym_141827_c8_g7
Sym_141827_c3_g1_i1	Sym_141827_c3_g1
Sym_141827_c8_g16_i1	Sym_141827_c8_g16
Sym_141827_c8_g17_i1	Sym_141827_c8_g17
Sym_141827_c8_g12_i1	Sym_141827_c8_g12
Sym_141827_c8_g13_i1	Sym_141827_c8_g13
Sym_141827_c8_g10_i1	Sym_141827_c8_g10
Sym_141827_c8_g11_i1	Sym_141827_c8_g11
Sym_141800_c0_g1_i1	Sym_141800_c0_g1
Sym_141800_c0_g2_i2	Sym_141800_c0_g2
Sym_155256_c1_g1_i1	Sym_155256_c1_g1
Sym_146016_c3_g1_i1	Sym_146016_c3_g1
Sym_146016_c3_g1_i4	Sym_146016_c3_g1
Sym_145995_c5_g1_i1	Sym_145995_c5_g1
Sym_145965_c1_g1_i5	Sym_145965_c1_g1
Sym_145965_c1_g1_i7	Sym_145965_c1_g1
Sym_110362_c8_g1_i1	Sym_110362_c8_g1
Sym_110340_c1_g1_i1	Sym_110340_c1_g1
Sym_110393_c1_g5_i1	Sym_110393_c1_g5
Sym_110366_c1_g3_i1	Sym_110366_c1_g3
Sym_110387_c0_g1_i1	Sym_110387_c0_g1
Sym_110387_c0_g1_i2	Sym_110387_c0_g1
Sym_174878_c0_g1_i1	Sym_174878_c0_g1
Sym_174926_c0_g1_i1	Sym_174926_c0_g1
Sym_174895_c0_g1_i1	Sym_174895_c0_g1
Sym_174925_c0_g1_i1	Sym_174925_c0_g1
Sym_174836_c0_g1_i1	Sym_174836_c0_g1
Sym_174888_c0_g1_i1	Sym_174888_c0_g1
Sym_174846_c0_g1_i1	Sym_174846_c0_g1
Sym_174906_c0_g1_i1	Sym_174906_c0_g1
Sym_174881_c0_g1_i1	Sym_174881_c0_g1
Sym_174889_c0_g1_i1	Sym_174889_c0_g1
Sym_174882_c0_g1_i1	Sym_174882_c0_g1
Sym_174920_c0_g1_i1	Sym_174920_c0_g1
Sym_174872_c0_g1_i1	Sym_174872_c0_g1
Sym_174864_c0_g1_i1	Sym_174864_c0_g1
Sym_174839_c0_g1_i1	Sym_174839_c0_g1
Sym_174863_c0_g1_i1	Sym_174863_c0_g1
Sym_174921_c0_g1_i1	Sym_174921_c0_g1
Sym_138650_c0_g1_i1	Sym_138650_c0_g1
Sym_138699_c1_g2_i3	Sym_138699_c1_g2
Sym_138640_c1_g3_i1	Sym_138640_c1_g3
Sym_138654_c0_g1_i2	Sym_138654_c0_g1
Sym_138705_c0_g1_i1	Sym_138705_c0_g1
Sym_138651_c1_g1_i1	Sym_138651_c1_g1
Sym_138722_c2_g10_i1	Sym_138722_c2_g10
Sym_138720_c2_g1_i1	Sym_138720_c2_g1
Sym_144703_c0_g1_i1	Sym_144703_c0_g1
Sym_144675_c3_g1_i1	Sym_144675_c3_g1
Sym_144706_c2_g3_i1	Sym_144706_c2_g3
Sym_144706_c1_g3_i1	Sym_144706_c1_g3
Sym_144706_c1_g2_i1	Sym_144706_c1_g2
Sym_144706_c1_g1_i2	Sym_144706_c1_g1
Sym_144706_c1_g5_i1	Sym_144706_c1_g5
Sym_144706_c1_g4_i1	Sym_144706_c1_g4
Sym_144699_c8_g1_i1	Sym_144699_c8_g1
Sym_144691_c1_g1_i1	Sym_144691_c1_g1
Sym_144637_c0_g1_i1	Sym_144637_c0_g1
Sym_194338_c0_g1_i1	Sym_194338_c0_g1
Sym_118388_c0_g1_i1	Sym_118388_c0_g1
Sym_118407_c3_g1_i1	Sym_118407_c3_g1
Sym_118341_c1_g3_i1	Sym_118341_c1_g3
Sym_118341_c1_g2_i13	Sym_118341_c1_g2
Sym_118341_c1_g2_i10	Sym_118341_c1_g2
Sym_118341_c1_g2_i1	Sym_118341_c1_g2
Sym_118341_c1_g6_i1	Sym_118341_c1_g6
Sym_118341_c1_g5_i1	Sym_118341_c1_g5
Sym_118404_c0_g1_i1	Sym_118404_c0_g1
Sym_118404_c0_g1_i2	Sym_118404_c0_g1
Sym_118404_c0_g1_i3	Sym_118404_c0_g1
Sym_118361_c0_g1_i1	Sym_118361_c0_g1
Sym_118361_c2_g1_i1	Sym_118361_c2_g1
Sym_118383_c0_g1_i6	Sym_118383_c0_g1
Sym_151048_c0_g1_i1	Sym_151048_c0_g1
Sym_151110_c0_g1_i1	Sym_151110_c0_g1
Sym_151131_c1_g1_i1	Sym_151131_c1_g1
Sym_151089_c5_g1_i1	Sym_151089_c5_g1
Sym_151042_c4_g8_i1	Sym_151042_c4_g8
Sym_151042_c4_g1_i1	Sym_151042_c4_g1
Sym_121489_c1_g1_i4	Sym_121489_c1_g1
Sym_121489_c1_g1_i3	Sym_121489_c1_g1
Sym_121489_c1_g4_i4	Sym_121489_c1_g4
Sym_121489_c1_g4_i1	Sym_121489_c1_g4
Sym_121495_c4_g1_i1	Sym_121495_c4_g1
Sym_121495_c7_g1_i2	Sym_121495_c7_g1
Sym_121495_c8_g2_i1	Sym_121495_c8_g2
Sym_121495_c9_g2_i1	Sym_121495_c9_g2
Sym_121495_c9_g1_i1	Sym_121495_c9_g1
Sym_121495_c6_g2_i1	Sym_121495_c6_g2
Sym_121495_c6_g1_i1	Sym_121495_c6_g1
Sym_121495_c10_g1_i3	Sym_121495_c10_g1
Sym_121495_c10_g2_i1	Sym_121495_c10_g2
Sym_121495_c10_g3_i2	Sym_121495_c10_g3
Sym_121495_c10_g3_i1	Sym_121495_c10_g3
Sym_121495_c10_g6_i1	Sym_121495_c10_g6
Sym_121471_c0_g1_i1	Sym_121471_c0_g1
Sym_121484_c0_g2_i10	Sym_121484_c0_g2
Sym_121484_c0_g2_i1	Sym_121484_c0_g2
Sym_121484_c0_g2_i3	Sym_121484_c0_g2
Sym_121484_c0_g3_i3	Sym_121484_c0_g3
Sym_121484_c0_g3_i1	Sym_121484_c0_g3
Sym_121457_c1_g1_i1	Sym_121457_c1_g1
Sym_147674_c2_g5_i1	Sym_147674_c2_g5
Sym_147684_c0_g1_i1	Sym_147684_c0_g1
Sym_147648_c1_g1_i1	Sym_147648_c1_g1
Sym_147711_c0_g1_i4	Sym_147711_c0_g1
Sym_147711_c0_g1_i5	Sym_147711_c0_g1
Sym_147711_c0_g1_i1	Sym_147711_c0_g1
Sym_147711_c0_g1_i2	Sym_147711_c0_g1
Sym_147711_c0_g2_i1	Sym_147711_c0_g2
Sym_147654_c1_g3_i2	Sym_147654_c1_g3
Sym_147727_c1_g2_i1	Sym_147727_c1_g2
Sym_147727_c1_g1_i1	Sym_147727_c1_g1
Sym_147655_c4_g4_i1	Sym_147655_c4_g4
Sym_147655_c2_g1_i1	Sym_147655_c2_g1
Sym_137966_c1_g2_i1	Sym_137966_c1_g2
Sym_137966_c1_g1_i1	Sym_137966_c1_g1
Sym_137999_c3_g1_i1	Sym_137999_c3_g1
Sym_138006_c0_g1_i1	Sym_138006_c0_g1
Sym_137960_c1_g6_i1	Sym_137960_c1_g6
Sym_137981_c4_g3_i1	Sym_137981_c4_g3
Sym_138003_c2_g4_i1	Sym_138003_c2_g4
Sym_138003_c2_g9_i1	Sym_138003_c2_g9
Sym_138025_c10_g1_i1	Sym_138025_c10_g1
Sym_138025_c8_g1_i1	Sym_138025_c8_g1
Sym_138025_c8_g2_i1	Sym_138025_c8_g2
Sym_163020_c0_g1_i1	Sym_163020_c0_g1
Sym_163030_c0_g1_i1	Sym_163030_c0_g1
Sym_162977_c0_g1_i1	Sym_162977_c0_g1
Sym_163003_c0_g1_i1	Sym_163003_c0_g1
Sym_114357_c0_g1_i2	Sym_114357_c0_g1
Sym_114334_c0_g1_i1	Sym_114334_c0_g1
Sym_114366_c1_g1_i1	Sym_114366_c1_g1
Sym_114386_c0_g1_i1	Sym_114386_c0_g1
Sym_114402_c5_g1_i1	Sym_114402_c5_g1
Sym_114356_c5_g1_i2	Sym_114356_c5_g1
Sym_114356_c5_g2_i1	Sym_114356_c5_g2
Sym_103097_c0_g1_i6	Sym_103097_c0_g1
Sym_103097_c0_g1_i7	Sym_103097_c0_g1
Sym_103097_c0_g1_i2	Sym_103097_c0_g1
Sym_103091_c0_g1_i1	Sym_103091_c0_g1
Sym_103091_c0_g1_i2	Sym_103091_c0_g1
Sym_103046_c0_g1_i1	Sym_103046_c0_g1
Sym_103046_c1_g4_i2	Sym_103046_c1_g4
Sym_103046_c1_g4_i1	Sym_103046_c1_g4
Sym_103069_c0_g1_i7	Sym_103069_c0_g1
Sym_103069_c0_g1_i3	Sym_103069_c0_g1
Sym_103069_c0_g1_i8	Sym_103069_c0_g1
Sym_103069_c0_g2_i1	Sym_103069_c0_g2
Sym_103069_c0_g3_i1	Sym_103069_c0_g3
Sym_103066_c0_g1_i1	Sym_103066_c0_g1
Sym_103066_c3_g3_i1	Sym_103066_c3_g3
Sym_103093_c3_g8_i1	Sym_103093_c3_g8
Sym_103093_c3_g12_i1	Sym_103093_c3_g12
Sym_103093_c3_g3_i1	Sym_103093_c3_g3
Sym_103093_c3_g2_i14	Sym_103093_c3_g2
Sym_103093_c3_g2_i5	Sym_103093_c3_g2
Sym_103093_c3_g5_i2	Sym_103093_c3_g5
Sym_103093_c3_g5_i1	Sym_103093_c3_g5
Sym_103093_c3_g6_i5	Sym_103093_c3_g6
Sym_103093_c3_g10_i1	Sym_103093_c3_g10
Sym_103127_c6_g1_i1	Sym_103127_c6_g1
Sym_103070_c0_g2_i2	Sym_103070_c0_g2
Sym_103106_c0_g1_i1	Sym_103106_c0_g1
Sym_103089_c0_g1_i1	Sym_103089_c0_g1
Sym_103089_c0_g1_i2	Sym_103089_c0_g1
Sym_103056_c0_g1_i4	Sym_103056_c0_g1
Sym_103056_c0_g1_i5	Sym_103056_c0_g1
Sym_103056_c0_g1_i7	Sym_103056_c0_g1
Sym_103056_c0_g1_i1	Sym_103056_c0_g1
Sym_103056_c0_g1_i2	Sym_103056_c0_g1
Sym_103056_c0_g1_i3	Sym_103056_c0_g1
Sym_103056_c0_g1_i8	Sym_103056_c0_g1
Sym_103044_c3_g2_i1	Sym_103044_c3_g2
Sym_195526_c0_g1_i1	Sym_195526_c0_g1
Sym_195463_c0_g1_i1	Sym_195463_c0_g1
Sym_119553_c0_g1_i1	Sym_119553_c0_g1
Sym_119553_c0_g1_i2	Sym_119553_c0_g1
Sym_119560_c0_g1_i1	Sym_119560_c0_g1
Sym_119560_c0_g1_i2	Sym_119560_c0_g1
Sym_119612_c0_g1_i1	Sym_119612_c0_g1
Sym_147099_c4_g1_i1	Sym_147099_c4_g1
Sym_147078_c0_g1_i1	Sym_147078_c0_g1
Sym_147067_c1_g3_i1	Sym_147067_c1_g3
Sym_147117_c0_g1_i1	Sym_147117_c0_g1
Sym_147119_c0_g1_i1	Sym_147119_c0_g1
Sym_147119_c1_g1_i1	Sym_147119_c1_g1
Sym_147072_c1_g2_i1	Sym_147072_c1_g2
Sym_147077_c3_g1_i2	Sym_147077_c3_g1
Sym_111222_c2_g4_i1	Sym_111222_c2_g4
Sym_111186_c1_g1_i2	Sym_111186_c1_g1
Sym_111181_c0_g1_i1	Sym_111181_c0_g1
Sym_111145_c0_g1_i1	Sym_111145_c0_g1
Sym_111225_c1_g1_i4	Sym_111225_c1_g1
Sym_111225_c1_g1_i1	Sym_111225_c1_g1
Sym_111204_c13_g2_i1	Sym_111204_c13_g2
Sym_111191_c0_g1_i4	Sym_111191_c0_g1
Sym_111191_c0_g1_i7	Sym_111191_c0_g1
Sym_111191_c0_g1_i1	Sym_111191_c0_g1
Sym_111178_c7_g4_i1	Sym_111178_c7_g4
Sym_111146_c3_g1_i1	Sym_111146_c3_g1
Sym_111146_c6_g1_i1	Sym_111146_c6_g1
Sym_109017_c3_g1_i2	Sym_109017_c3_g1
Sym_109026_c1_g1_i1	Sym_109026_c1_g1
Sym_108997_c5_g4_i1	Sym_108997_c5_g4
Sym_109030_c0_g1_i1	Sym_109030_c0_g1
Sym_109030_c0_g2_i1	Sym_109030_c0_g2
Sym_108996_c0_g8_i1	Sym_108996_c0_g8
Sym_108996_c0_g11_i1	Sym_108996_c0_g11
Sym_108983_c0_g1_i1	Sym_108983_c0_g1
Sym_108965_c0_g1_i2	Sym_108965_c0_g1
Sym_108952_c2_g1_i1	Sym_108952_c2_g1
Sym_154543_c0_g1_i1	Sym_154543_c0_g1
Sym_154543_c0_g2_i1	Sym_154543_c0_g2
Sym_154543_c2_g1_i2	Sym_154543_c2_g1
Sym_128613_c0_g1_i1	Sym_128613_c0_g1
Sym_128613_c2_g1_i1	Sym_128613_c2_g1
Sym_128585_c3_g1_i2	Sym_128585_c3_g1
Sym_128585_c3_g1_i1	Sym_128585_c3_g1
Sym_128585_c1_g1_i3	Sym_128585_c1_g1
Sym_128585_c1_g1_i2	Sym_128585_c1_g1
Sym_128585_c2_g1_i3	Sym_128585_c2_g1
Sym_128585_c2_g1_i5	Sym_128585_c2_g1
Sym_128551_c1_g2_i1	Sym_128551_c1_g2
Sym_128551_c1_g2_i2	Sym_128551_c1_g2
Sym_128563_c0_g1_i1	Sym_128563_c0_g1
Sym_128548_c0_g1_i5	Sym_128548_c0_g1
Sym_128548_c0_g1_i6	Sym_128548_c0_g1
Sym_128548_c0_g1_i7	Sym_128548_c0_g1
Sym_128548_c0_g1_i1	Sym_128548_c0_g1
Sym_128548_c0_g1_i2	Sym_128548_c0_g1
Sym_128548_c0_g1_i3	Sym_128548_c0_g1
Sym_128548_c0_g1_i8	Sym_128548_c0_g1
Sym_128548_c0_g2_i2	Sym_128548_c0_g2
Sym_128602_c3_g1_i2	Sym_128602_c3_g1
Sym_128602_c3_g1_i1	Sym_128602_c3_g1
Sym_128573_c5_g3_i1	Sym_128573_c5_g3
Sym_128537_c1_g3_i1	Sym_128537_c1_g3
Sym_128537_c1_g1_i5	Sym_128537_c1_g1
Sym_128537_c1_g1_i4	Sym_128537_c1_g1
Sym_128537_c1_g1_i7	Sym_128537_c1_g1
Sym_128537_c1_g1_i6	Sym_128537_c1_g1
Sym_128537_c1_g1_i2	Sym_128537_c1_g1
Sym_148012_c3_g1_i2	Sym_148012_c3_g1
Sym_147958_c1_g1_i1	Sym_147958_c1_g1
Sym_148007_c5_g1_i1	Sym_148007_c5_g1
Sym_147948_c1_g2_i1	Sym_147948_c1_g2
Sym_147946_c6_g9_i1	Sym_147946_c6_g9
Sym_147975_c5_g1_i1	Sym_147975_c5_g1
Sym_148027_c1_g2_i1	Sym_148027_c1_g2
Sym_148027_c1_g6_i1	Sym_148027_c1_g6
Sym_147987_c1_g3_i1	Sym_147987_c1_g3
Sym_147987_c1_g1_i2	Sym_147987_c1_g1
Sym_147976_c0_g1_i1	Sym_147976_c0_g1
Sym_137576_c4_g1_i1	Sym_137576_c4_g1
Sym_137621_c0_g1_i4	Sym_137621_c0_g1
Sym_137621_c0_g1_i2	Sym_137621_c0_g1
Sym_137621_c0_g1_i3	Sym_137621_c0_g1
Sym_137621_c0_g1_i8	Sym_137621_c0_g1
Sym_137621_c0_g1_i10	Sym_137621_c0_g1
Sym_137621_c0_g1_i11	Sym_137621_c0_g1
Sym_137600_c1_g1_i1	Sym_137600_c1_g1
Sym_137604_c0_g1_i1	Sym_137604_c0_g1
Sym_137590_c1_g1_i9	Sym_137590_c1_g1
Sym_137590_c1_g1_i4	Sym_137590_c1_g1
Sym_137590_c1_g1_i6	Sym_137590_c1_g1
Sym_137590_c1_g1_i14	Sym_137590_c1_g1
Sym_137590_c1_g1_i10	Sym_137590_c1_g1
Sym_137590_c0_g2_i1	Sym_137590_c0_g2
Sym_137542_c6_g2_i1	Sym_137542_c6_g2
Sym_137541_c0_g1_i2	Sym_137541_c0_g1
Sym_120138_c2_g2_i1	Sym_120138_c2_g2
Sym_120138_c2_g1_i1	Sym_120138_c2_g1
Sym_120224_c1_g1_i1	Sym_120224_c1_g1
Sym_120141_c4_g1_i2	Sym_120141_c4_g1
Sym_120205_c0_g1_i1	Sym_120205_c0_g1
Sym_120205_c3_g2_i1	Sym_120205_c3_g2
Sym_120216_c3_g1_i5	Sym_120216_c3_g1
Sym_120216_c1_g1_i1	Sym_120216_c1_g1
Sym_120216_c2_g1_i1	Sym_120216_c2_g1
Sym_120132_c2_g4_i5	Sym_120132_c2_g4
Sym_120198_c11_g1_i1	Sym_120198_c11_g1
Sym_120157_c4_g2_i3	Sym_120157_c4_g2
Sym_120157_c4_g2_i2	Sym_120157_c4_g2
Sym_106600_c2_g2_i1	Sym_106600_c2_g2
Sym_106600_c2_g1_i2	Sym_106600_c2_g1
Sym_106600_c2_g1_i3	Sym_106600_c2_g1
Sym_106600_c2_g1_i4	Sym_106600_c2_g1
Sym_106617_c4_g1_i1	Sym_106617_c4_g1
Sym_106617_c4_g2_i1	Sym_106617_c4_g2
Sym_106617_c4_g3_i5	Sym_106617_c4_g3
Sym_106617_c1_g1_i1	Sym_106617_c1_g1
Sym_106617_c2_g1_i1	Sym_106617_c2_g1
Sym_106555_c2_g4_i3	Sym_106555_c2_g4
Sym_106555_c2_g4_i2	Sym_106555_c2_g4
Sym_106556_c4_g2_i2	Sym_106556_c4_g2
Sym_106589_c11_g1_i4	Sym_106589_c11_g1
Sym_106589_c11_g1_i1	Sym_106589_c11_g1
Sym_106589_c11_g1_i2	Sym_106589_c11_g1
Sym_106542_c2_g2_i1	Sym_106542_c2_g2
Sym_106542_c2_g3_i1	Sym_106542_c2_g3
Sym_106545_c0_g1_i1	Sym_106545_c0_g1
Sym_106557_c1_g1_i1	Sym_106557_c1_g1
Sym_106557_c2_g1_i1	Sym_106557_c2_g1
Sym_133954_c0_g1_i1	Sym_133954_c0_g1
Sym_133950_c2_g1_i1	Sym_133950_c2_g1
Sym_133957_c1_g1_i1	Sym_133957_c1_g1
Sym_134028_c2_g8_i1	Sym_134028_c2_g8
Sym_133958_c0_g2_i25	Sym_133958_c0_g2
Sym_133958_c0_g2_i11	Sym_133958_c0_g2
Sym_133958_c0_g2_i1	Sym_133958_c0_g2
Sym_133958_c0_g2_i5	Sym_133958_c0_g2
Sym_134024_c1_g1_i1	Sym_134024_c1_g1
Sym_133968_c0_g1_i1	Sym_133968_c0_g1
Sym_161296_c0_g1_i1	Sym_161296_c0_g1
Sym_161311_c0_g1_i1	Sym_161311_c0_g1
Sym_161246_c0_g1_i1	Sym_161246_c0_g1
Sym_161253_c0_g1_i1	Sym_161253_c0_g1
Sym_161325_c0_g1_i1	Sym_161325_c0_g1
Sym_161276_c0_g1_i1	Sym_161276_c0_g1
Sym_161235_c0_g1_i1	Sym_161235_c0_g1
Sym_161284_c0_g1_i1	Sym_161284_c0_g1
Sym_154733_c0_g1_i1	Sym_154733_c0_g1
Sym_154804_c2_g2_i1	Sym_154804_c2_g2
Sym_154816_c4_g1_i1	Sym_154816_c4_g1
Sym_154805_c0_g1_i1	Sym_154805_c0_g1
Sym_154785_c11_g4_i1	Sym_154785_c11_g4
Sym_105265_c5_g5_i2	Sym_105265_c5_g5
Sym_105265_c5_g1_i1	Sym_105265_c5_g1
Sym_105265_c5_g1_i2	Sym_105265_c5_g1
Sym_105265_c3_g1_i1	Sym_105265_c3_g1
Sym_105265_c3_g2_i1	Sym_105265_c3_g2
Sym_105316_c2_g2_i1	Sym_105316_c2_g2
Sym_105277_c2_g1_i1	Sym_105277_c2_g1
Sym_105248_c3_g2_i1	Sym_105248_c3_g2
Sym_105248_c2_g1_i1	Sym_105248_c2_g1
Sym_105248_c6_g8_i1	Sym_105248_c6_g8
Sym_105254_c6_g2_i3	Sym_105254_c6_g2
Sym_105329_c1_g1_i1	Sym_105329_c1_g1
Sym_105268_c2_g1_i1	Sym_105268_c2_g1
Sym_148742_c0_g6_i1	Sym_148742_c0_g6
Sym_148828_c1_g2_i1	Sym_148828_c1_g2
Sym_148791_c0_g1_i1	Sym_148791_c0_g1
Sym_148791_c3_g4_i1	Sym_148791_c3_g4
Sym_148791_c2_g2_i1	Sym_148791_c2_g2
